"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct"
"5370037.00","2021S05075370037.00","0037.00",0.316,"35",1,114882.0165,1148820165.94531,177180.874408725,23311.4496429666,332795.164809121,7.0047440912602
"5370038.00","2021S05075370038.00","0038.00",0.3327,"35",1,114882.0165,1148820165.94531,177180.874408725,7606.73508647764,350472.217916132,2.17042455795967
"5370039.00","2021S05075370039.00","0039.00",0.3461,"35",1,114882.0165,1148820165.94531,177180.874408725,0,364580.395191515,0
"5370040.00","2021S05075370040.00","0040.00",0.3404,"35",1,114882.0165,1148820165.94531,177180.874408725,44196.33033594,358519.922575547,12.3274405557273
"5370041.00","2021S05075370041.00","0041.00",0.4096,"35",1,114882.0165,1148820165.94531,177180.874408725,4759.87592549943,431417.113170211,1.10331180201038
"5370042.00","2021S05075370042.00","0042.00",1.5176,"35",1,114882.0165,1148820165.94531,177180.874408725,44582.9957547069,1598347.99676429,2.78931721032973
"5370043.00","2021S05075370043.00","0043.00",1.8794,"35",1,114882.0165,1148820165.94531,177180.874408725,229008.831222339,1979488.03514733,11.5690939857231
"5370044.00","2021S05075370044.00","0044.00",1.1718,"35",1,114882.0165,1148820165.94531,177180.874408725,0,1234268.23775185,0
"5370045.00","2021S05075370045.00","0045.00",3.2338,"35",1,114882.0165,1148820165.94531,177180.874408725,180850.091566658,3469315.83717652,5.21284599195907
"5370046.00","2021S05075370046.00","0046.00",1.2503,"35",1,114882.0165,1148820165.94531,177180.874408725,470459.793895378,1722295.97144926,27.3158505677454
"5370047.00","2021S05075370047.00","0047.00",1.2333,"35",1,114882.0165,1148820165.94531,177180.874408725,210841.006487065,1300240.16308869,16.2155432874967
"5370048.00","2021S05075370048.00","0048.00",0.3705,"35",1,114882.0165,1148820165.94531,177180.874408725,35200.4219581385,390185.502570137,9.02145818495936
"5370049.00","2021S05075370049.00","0049.00",0.4456,"35",1,114882.0165,1148820165.94531,177180.874408725,24007.2242264621,469268.547653104,5.1158818008423
"5370050.00","2021S05075370050.00","0050.00",0.5519,"35",1,114882.0165,1148820165.94531,177180.874408725,20247.4752737718,581235.036401733,3.4835262855313
"5370051.00","2021S05075370051.00","0051.00",0.5473,"35",1,114882.0165,1148820165.94531,177180.874408725,28018.1768947254,576494.690689741,4.860092789615
"5370052.00","2021S05075370052.00","0052.00",0.5255,"35",1,114882.0165,1148820165.94531,177180.874408725,30222.209107108,553552.651398763,5.45968103137795
"5370053.00","2021S05075370053.00","0053.00",0.4969,"35",1,114882.0165,1148820165.94531,177180.874408725,64.8995156753912,523425.420966118,0.0123989995662806
"5370054.00","2021S05075370054.00","0054.00",0.4847,"35",1,114882.0165,1148820165.94531,177180.874408725,17040.1290494817,510590.031283708,3.33734072454176
"5370055.00","2021S05075370055.00","0055.00",0.5397,"35",1,114882.0165,1148820165.94531,177180.874408725,11527.306955735,568509.233293933,2.02763759683304
"5370056.00","2021S05075370056.00","0056.00",1.1353,"35",1,114882.0165,1148820165.94531,177180.874408725,125769.305914143,1195869.80737304,10.5169730967972
"5370057.00","2021S05075370057.00","0057.00",0.5967,"35",1,114882.0165,1148820165.94531,177180.874408725,20793.9432604497,628525.892296833,3.30836700847152
"5370058.00","2021S05075370058.00","0058.00",0.6973,"35",1,114882.0165,1148820165.94531,177180.874408725,8939.15462318102,734415.663379478,1.21717919005795
"5370059.00","2021S05075370059.00","0059.00",0.7169,"35",1,114882.0165,1148820165.94531,177180.874408725,15840.8941148988,755069.599949381,2.09793827164553
"5370060.00","2021S05075370060.00","0060.00",0.6695,"35",1,114882.0165,1148820165.94531,177180.874408725,72082.3678383074,705172.465585135,10.2219487226426
"5370061.00","2021S05075370061.00","0061.00",0.5981,"35",1,114882.0165,1148820165.94531,177180.874408725,61511.7187755524,629927.976028492,9.76488124298994
"5370062.00","2021S05075370062.00","0062.00",0.5866,"35",1,114882.0165,1148820165.94531,177180.874408725,10864.1461925431,617790.83813872,1.75854763810914
"5370063.00","2021S05075370063.00","0063.00",0.571,"35",1,114882.0165,1148820165.94531,177180.874408725,6042.00937056838,601378.761143079,1.00469284267438
"5370064.00","2021S05075370064.00","0064.00",0.5727,"35",1,114882.0165,1148820165.94531,177180.874408725,44279.5868021023,603176.2521484,7.34106932167618
"5370065.00","2021S05075370065.00","0065.00",1.788,"35",1,114882.0165,1148820165.94531,177180.874408725,344557.512395337,1910941.58952945,18.0307715465118
"5370066.00","2021S05075370066.00","0066.00",1.4643,"35",1,114882.0165,1148820165.94531,177180.874408725,278675.788543004,1541986.42587088,18.0725189189402
"5370067.00","2021S05075370067.00","0067.00",2.3725,"35",1,114882.0165,1148820165.94531,177180.874408725,14298.5261434714,2504080.1150029,0.571009132567422
"5370068.00","2021S05075370068.00","0068.00",4.9509,"35",1,114882.0165,1148820165.94531,177180.874408725,691.723742246515,5232313.46485463,0.0132202274747645
"5370069.00","2021S05075370069.00","0069.00",5.5383,"35",1,114882.0165,1148820165.94531,177180.874408725,8554.30494785416,6059440.43806003,0.141173183156049
"5370070.00","2021S05075370070.00","0070.00",2.3861,"35",1,114882.0165,1148820165.94531,177180.874408725,201734.445900732,2598279.45992922,7.76415504998168
"5370071.00","2021S05075370071.00","0071.00",1.8601,"35",1,114882.0165,1148820165.94531,177180.874408725,299430.285713602,1972692.59951195,15.1787605320607
"5370073.00","2021S05075370073.00","0073.00",1.7616,"35",1,114882.0165,1148820165.94531,177180.874408725,238357.791835525,2362835.59948041,10.087785704936
"5370200.00","2021S05075370200.00","0200.00",16.1661,"35",1,114882.0165,1148820165.94531,177180.874408725,0,56304.691028149,0
"5370201.00","2021S05075370201.00","0201.00",6.2048,"35",1,114882.0165,1148820165.94531,177180.874408725,0,709.674349848327,0
"5370202.00","2021S05075370202.00","0202.00",3.0414,"35",1,114882.0165,1148820165.94531,177180.874408725,0,26799.3749035997,0
"5370203.00","2021S05075370203.00","0203.00",1.9776,"35",1,114882.0165,1148820165.94531,177180.874408725,0,11092.071276585,0
"5370204.00","2021S05075370204.00","0204.00",1.8316,"35",1,114882.0165,1148820165.94531,177180.874408725,0,42080.9974079939,0
"5370002.06","2021S05075370002.06","0002.06",2.6725,"35",1,114882.0165,1148820165.94531,177180.874408725,362726.511227274,2831733.0244687,12.809347070963
"5370080.06","2021S05075370080.06","0080.06",2.1507,"35",1,114882.0165,1148820165.94531,177180.874408725,360130.463288733,2272130.48995956,15.8499023220776
"5370080.07","2021S05075370080.07","0080.07",1.4239,"35",1,114882.0165,1148820165.94531,177180.874408725,45508.1621700204,1500788.3952667,3.032283719247
"5370101.02","2021S05075370101.02","0101.02",64.8969,"35",1,114882.0165,1148820165.94531,177180.874408725,298691.830276575,69266090.0672963,0.431223748859475
"5370144.01","2021S05075370144.01","0144.01",61.0528,"35",1,114882.0165,1148820165.94531,177180.874408725,731617.882801137,65520107.7155326,1.11663107450554
"5370144.02","2021S05075370144.02","0144.02",34.0386,"35",1,114882.0165,1148820165.94531,177180.874408725,199320.124909075,35845082.0403357,0.556059893194789
