"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct","Shape Area","Type","Households","Quality Flags","Dwellings 2016","name","CMA_UID","Population","Households 2016","Dwellings","CSD_UID","Population 2016","CD_UID","Region Name","Area (sq km)","med_income"
"5370030.00","2021S05075370030.00","0030.00",1.0584,"35",1,114882.0165,1148820165.94531,177180.874408725,127042.802218337,1114996.76398585,11.3940063614346,1.0584,"CT",1677,"0",1721,"0030.00","35537",4150,1658,1722,"3525005",4062,"3525","0030.00",1.0584,95000
"5370031.00","2021S05075370031.00","0031.00",0.9549,"35",1,114882.0165,1148820165.94531,177180.874408725,429102.484367723,1005927.1191305,42.6574128688993,0.9549,"CT",847,"0",890,"0031.00","35537",2036,837,894,"3525005",2070,"3525","0031.00",0.9549,92000
"5370032.00","2021S05075370032.00","0032.00",0.7444,"35",1,114882.0165,1148820165.94531,177180.874408725,151021.153723223,784078.15786799,19.2609821110014,0.7444,"CT",1502,"0",1590,"0032.00","35537",3151,1468,1610,"3525005",3180,"3525","0032.00",0.7444,56000
"5370033.00","2021S05075370033.00","0033.00",0.704,"35",1,114882.0165,1148820165.94531,177180.874408725,178785.618716074,741596.376210717,24.1082109421303,0.704,"CT",1383,"0",1544,"0033.00","35537",3201,1303,1556,"3525005",3092,"3525","0033.00",0.704,67500
"5370034.00","2021S05075370034.00","0034.00",0.9097,"35",1,114882.0165,1148820165.94531,177180.874408725,345427.222296567,958210.072519759,36.0492163673686,0.9097,"CT",3146,"0",3329,"0034.00","35537",5691,3019,3481,"3525005",5258,"3525","0034.00",0.9097,52400
"5370035.00","2021S05075370035.00","0035.00",0.4432,"35",1,114882.0165,1148820165.94531,177180.874408725,16567.3969042977,466835.749462585,3.54887065169493,0.4432,"CT",1903,"0",2083,"0035.00","35537",3969,1821,2172,"3525005",3648,"3525","0035.00",0.4432,53600
"5370036.00","2021S05075370036.00","0036.00",0.3667,"35",1,114882.0165,1148820165.94531,177180.874408725,12977.1116697474,386269.650574408,3.35959909106233,0.3667,"CT",1689,"0",1615,"0036.00","35537",3261,1374,1886,"3525005",2492,"3525","0036.00",0.3667,50800
"5370037.00","2021S05075370037.00","0037.00",0.316,"35",1,114882.0165,1148820165.94531,177180.874408725,23311.4496429666,332795.164809121,7.0047440912602,0.316,"CT",2239,"0",2152,"0037.00","35537",3183,1947,2612,"3525005",2588,"3525","0037.00",0.316,32400
"5370038.00","2021S05075370038.00","0038.00",0.3327,"35",1,114882.0165,1148820165.94531,177180.874408725,7606.73508647764,350472.217916132,2.17042455795967,0.3327,"CT",2655,"0",2805,"0038.00","35537",4172,2615,2931,"3525005",3914,"3525","0038.00",0.3327,47600
"5370039.00","2021S05075370039.00","0039.00",0.3461,"35",1,114882.0165,1148820165.94531,177180.874408725,0,364580.395191515,0,0.3461,"CT",3123,"0",3305,"0039.00","35537",5533,3044,3309,"3525005",5127,"3525","0039.00",0.3461,56800
